Vendedor,SKU,Sexo,Tags,Vendedor,Nombre,Marca,Talla,Categoría,Subcategoría,Estilo,Estilo 2 (opcional),Color,Color (opcional),Precio Influ,Inventory,# Fotos,Precio Final,Fecha,Descripción
#1073,3.1073.28,Woman,"Woman, Uniqlo, S, Camisetas, Básicos, Azul marino",Nuria Blanco,Camiseta azul manga larga ,Uniqlo,S,Camisetas,,Básicos,,Azul marino,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.29,Woman,"Woman, Zara, M, Vestidos, Vestidos mini, Casual, Negro",Nuria Blanco,Vestido negro de terciopelo ,Zara,M,Vestidos,Vestidos mini,Casual,,Negro,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.30,Woman,"Woman, Tiger Mist , XS, Tops, Crop tops, Streetwear, Rockero, Marrón",Nuria Blanco,Top marrón efecto piel ,Tiger Mist ,XS,Tops,Crop tops,Streetwear,Rockero,Marrón,,"26,86",cubyn-fulfillment,3,"34,99",,
#1073,3.1073.31,Woman,"Woman, Brownie, XXS, Monos | Petos, Streetwear, Blanco",Nuria Blanco,Peto blanco ,Brownie,XXS,Monos | Petos,,Streetwear,,Blanco,,"23,02",cubyn-fulfillment,3,"29,99",,
#1073,3.1073.32,Woman,"Woman, YERSE, M, Camisetas, Básicos, Blanco",Nuria Blanco,Camiseta blanca estampada ,YERSE,M,Camisetas,,Básicos,,Blanco,,"7,67",cubyn-fulfillment,3,"9,99",,Marcas de maquillaje
#1073,3.1073.33,Woman,"Woman, Subdued, One size, Jerséis | Cárdigans, Streetwear, Comfy, Blanco",Nuria Blanco,Cardigan blanco de canalé NUEVO,Subdued,One size,Jerséis | Cárdigans,,Streetwear,Comfy,Blanco,,"11,51",cubyn-fulfillment,3,"14,99",,
#1073,3.1073.34,Woman,"Woman, Adika , S, Lencería | Pijamas, Comfy, Rosa",Nuria Blanco,Pijama rosa enteriza ,Adika ,S,Lencería | Pijamas,,Comfy,,Rosa,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.35,Woman,"Woman, 8 Birdies , One size, Jerséis | Cárdigans, Boho, Casual, Blanco",Nuria Blanco,Cárdigan blanco anudado de punto,8 Birdies ,One size,Jerséis | Cárdigans,,Boho,Casual,Blanco,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.36,Woman,"Woman, Adika, M, Tops, Crop tops, Streetwear, Blanco",Nuria Blanco,Top blanco de canalé,Adika,M,Tops,Crop tops,Streetwear,,Blanco,,"3,83",cubyn-fulfillment,3,"4,99",,
#1073,3.1073.37,Woman,"Woman, Adika , S, Tops, Crop tops, Streetwear, Negro",Nuria Blanco,Top negro tipo polo ,Adika ,S,Tops,Crop tops,Streetwear,,Negro,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.38,Woman,"Woman, Vitrallet Studio, S, Vestidos, Vestidos mini, Party night, Casual, Verde",Nuria Blanco,Vestido verde fruncido ,Vitrallet Studio,S,Vestidos,Vestidos mini,Party night,Casual,Verde,,"7,67",cubyn-fulfillment,3,"9,99",,Manchas sin identificar
#1073,3.1073.39,Woman,"Woman, Charter, One size, Jerséis | Cárdigans, Comfy, Azul",Nuria Blanco,Cárdigan azul cremallera asimétrica ,Charter,One size,Jerséis | Cárdigans,,Comfy,,Azul,,"13,81",cubyn-fulfillment,3,"17,99",,
#1073,3.1073.40,Woman,"Woman, Otras marcas, One size, Tops, Bodies, Party night, Negro",Nuria Blanco,Body negro transparente,Otras marcas,One size,Tops,Bodies,Party night,,Negro,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.41,Woman,"Woman, Otras marcas, S/M, Tops, Party night, Rosa",Nuria Blanco,Top rosa fruncido ,Otras marcas,S/M,Tops,,Party night,,Rosa,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.42,Woman,"Woman, Otras marcas, One size, Accesorios, Pañuelos | Bufandas, Casual, Azul, Multicolor",Nuria Blanco,Pañuelo de rayas ,Otras marcas,One size,Accesorios,Pañuelos | Bufandas,Casual,,Azul,Multicolor,"5,37",cubyn-fulfillment,2,"6,99",,
#1073,3.1073.43,Woman,"Woman, Brownie, One size, Accesorios, Pañuelos | Bufandas, Streetwear, Rosa",Nuria Blanco,Pañuelo rosa ,Brownie,One size,Accesorios,Pañuelos | Bufandas,Streetwear,,Rosa,,"5,37",cubyn-fulfillment,2,"6,99",,
#1073,3.1073.44,Woman,"Woman, NA-KD, XS, Tops, Crop tops, Streetwear, Verde",Nuria Blanco,Top jersey verde ,NA-KD,XS,Tops,Crop tops,Streetwear,,Verde,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.45,Woman,"Woman, NA-KD, XS, Tops, Crop tops, Streetwear, Verde",Nuria Blanco,Top verde de canalé espalda anudada,NA-KD,XS,Tops,Crop tops,Streetwear,,Verde,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.46,Woman,"Woman, NA-KD, XS, Tops, Crop tops, Streetwear, Casual, Negro",Nuria Blanco,Top negro anudado ,NA-KD,XS,Tops,Crop tops,Streetwear,Casual,Negro,,"9,97",cubyn-fulfillment,3,"12,99",,
#1073,3.1073.47,Woman,"Woman, Adika , XS, Tops, Crop tops, Streetwear, Verde",Nuria Blanco,Top verde transparente ,Adika ,XS,Tops,Crop tops,Streetwear,,Verde,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.48,Woman,"Woman, Joah Brown , XS/S, Tops, Crop tops, Streetwear, Negro",Nuria Blanco,Top negro ,Joah Brown ,XS/S,Tops,Crop tops,Streetwear,,Negro,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.49,Woman,"Woman, Bdg, S, Tops, Crop tops, Streetwear, Naranja",Nuria Blanco,Top naranja de canalé ,Bdg,S,Tops,Crop tops,Streetwear,,Naranja,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.50,Woman,"Woman, Storets , S, Tops, Crop tops, Streetwear, Blanco",Nuria Blanco,Top blanco asimetríco de canalé,Storets ,S,Tops,Crop tops,Streetwear,,Blanco,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.51,Woman,"Woman, Yerse , S, Chalecos, Comfy, Blanco",Nuria Blanco,Chaleco blanco de punto ,Yerse ,S,Chalecos,,Comfy,,Blanco,,"19,19",cubyn-fulfillment,3,"24,99",,
#1073,3.1073.52,Woman,"Woman, Adika , XS, Pantalones, Pantalones fluidos, Casual, Azul",Nuria Blanco,Pantalón azul satinado ,Adika ,XS,Pantalones,Pantalones fluidos,Casual,,Azul,,"9,97",cubyn-fulfillment,3,"12,99",,
#1073,3.1073.53,Woman,"Woman, Guess, 25, Jeans, Pitillo, Denim, Negro",Nuria Blanco,Jeans negro GUESS ,Guess,25,Jeans,Pitillo,Denim,,Negro,,"20,72",cubyn-fulfillment,3,"26,99",,
#1073,3.1073.54,Woman,"Woman, Charcoal , 4, Faldas, Faldas mini, Casual, Marrón",Nuria Blanco,Falda marrón NUEVO,Charcoal ,4,Faldas,Faldas mini,Casual,,Marrón,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.55,Woman,"Woman, Ntb , XS, Pantalones, Pantalones de vestir, Casual, Gris",Nuria Blanco,Pantalón gris de vestir,Ntb ,XS,Pantalones,Pantalones de vestir,Casual,,Gris,,"11,51",cubyn-fulfillment,3,"14,99",,
#1073,3.1073.56,Woman,"Woman, Subdued, 23, Shorts, Shorts denim, Denim, Azul",Nuria Blanco,Short jeans azul ,Subdued,23,Shorts,Shorts denim,Denim,,Azul,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.57,Woman,"Woman, Rats&Banana, XL, Tops, Crop tops, Streetwear, Casual, Naranja",Nuria Blanco,Top naranja asimétrico ,Rats&Banana,XL,Tops,Crop tops,Streetwear,Casual,Naranja,,"9,97",cubyn-fulfillment,3,"12,99",,
#1073,3.1073.58,Woman,"Woman, Oh My, One size, Tops, Crop tops, Streetwear, Negro",Nuria Blanco,Top negro de canalé,Oh My,One size,Tops,Crop tops,Streetwear,,Negro,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.59,Woman,"Woman, Jaded , 32, Pantalones, Pantalones de punto, Beachwear, Multicolor",Nuria Blanco,Pantalón corto colores de punto,Jaded ,32,Pantalones,Pantalones de punto,Beachwear,,Multicolor,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.60,Woman,"Woman, Kaporal, S, Abrigos | Chaquetas, Chaquetas | Cazadoras, Denim, Azul",Nuria Blanco,Chaqueta vaquera de borrego KAPORAL NUEVO,Kaporal,S,Abrigos | Chaquetas,Chaquetas | Cazadoras,Denim,,Azul,,"29,93",cubyn-fulfillment,3,"38,99",,
#1073,3.1073.61,Woman,"Woman, Cala , One size, Monos | Petos, Casual, Streetwear, Multicolor",Nuria Blanco,Mono colores de pelo ,Cala ,One size,Monos | Petos,,Casual,Streetwear,Multicolor,,"9,97",cubyn-fulfillment,3,"12,99",,
#1073,3.1073.62,Woman,"Woman, Carhartt, XS, Monos | Petos, Streetwear, Marrón",Nuria Blanco,Peto marrón,Carhartt,XS,Monos | Petos,,Streetwear,,Marrón,,"53,74",cubyn-fulfillment,3,"69,99",,
#1073,3.1073.63,Woman,"Woman, Zara, M, Jerséis | Cárdigans, Comfy, Beige",Nuria Blanco,Jersey beige over size,Zara,M,Jerséis | Cárdigans,,Comfy,,Beige,,"7,67",cubyn-fulfillment,3,"9,99",,
